Latitude,Longitude,City,Country,Hotel
6.12,81.12,Hambantota,LK,Jade Green Hotel Hambantota
-23.49,-58.8,Pozo Colorado,PY,Hospedaje la Amistad
29.97,40.21,Sakakah,SA,Raoum Inn Hotel
